Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,4294246000,4270389000,4070033000,4244775000,4506632000,1900853000,1948780000,1915865000,1594911000,1480431000,1310349000,1190231000,1155705000,1076202000
totalRevenue,4610796000,4600286000,4409516000,4593973000,4823383000,2211802000,2263420000,2179490000,1843307000,1691620000,1522074000,1479062000,1407172000,1230974000
costOfRevenue,316550000,329897000,339483000,349198000,316751000,310949000,314640000,263625000,248396000,211189000,211725000,207577000,191563000,154772000
costofGoodsAndServicesSold,1870012000,1663728000,1629046000,1778326000,1860758000,1755772000,1700495000,1650281000,1363782000,1245700000,1124865000,1089232000,1089232000,1221580000
operatingIncome,352389000,383945000,288083000,229405000,303106000,264665000,248285000,265584000,235729000,234731000,185484000,184353000,179599000,126902000
sellingGeneralAndAdministrative,190766000,196972000,204306000,193372000,185926000,184515000,190343000,148709000,137040000,115018000,117061000,113792000,110015000,106364000
researchAndDevelopment,0.06,0.10,0.09,0.05,None,None,None,None,None,None,None,None,None,None
operatingExpenses,1930303000,1828626000,1827853000,1980512000,2052450000,1945346000,1894814000,1802066000,1501120000,1362193000,1347682000,1300754000,1223746000,1130193000
investmentIncomeNet,7792000,16831000,24007000,23072000,28934000,34755000,51676000,28496000,11578000,4747000,3324000,6716000,7032000,6271000
netInterestIncome,-210500000,-148562000,-105453000,-103765000,-122090000,-115348000,-96348000,-100222000,-94558000,-82621000,-79680000,-75473000,-68346000,-34452000
interestIncome,7792000,16831000,24007000,23072000,28934000,34755000,51676000,28496000,11578000,4747000,3324000,6716000,7032000,6242000
interestExpense,218292000,164550000,129460000,126837000,151024000,150103000,148024000,128718000,106136000,87368000,83004000,82189000,75378000,40694000
nonInterestIncome,4821296000,4748005000,4514969000,4697738000,4945473000,2327150000,-1520000,-11579000,466000,-490000,-21616000,-10281000,3942000,-2787000
otherNonOperatingIncome,None,None,41340000,37557000,24139000,34755000,51676000,12611000,11578000,4747000,-17333000,-1746000,-1746000,-1746000
depreciation,111000000,111600000,109600000,112400000,107900000,103500000,98900000,92800000,85900000,79800000,78800000,72200000,61600000,37700000
depreciationAndAmortization,125784000,132925000,135177000,134680000,130825000,126434000,124297000,114916000,106756000,96171000,94664000,91685000,81548000,44365000
incomeBeforeTax,142724000,234712000,200148000,133495000,183251000,159206000,164199000,156619000,146827000,158023000,89085000,94188000,121797000,97832000
incomeTaxExpense,35399000,62899000,122730000,20463000,16648000,14117000,17958000,7904000,7389000,14093000,-26050000,-40562000,43172000,34364000
interestAndDebtExpense,226824000,202445000,124767000,121518000,155819000,150103000,148024000,144603000,106136000,87368000,103661000,90651000,75378000,48640000
netIncomeFromContinuingOperations,107183000,171692000,77233000,112831000,166412000,144827000,146024000,148498000,139438000,143930000,117400000,145410000,70806000,55049000
comprehensiveIncomeNetOfTax,107602000,175110000,79791000,110778000,169886000,145917000,152608000,150294000,134495000,120898000,108036000,135490000,70484000,68043000
ebit,361016000,399262000,329608000,260332000,334275000,309309000,312223000,285337000,252963000,245391000,172089000,176377000,197175000,138526000
ebitda,486800000,532187000,464785000,395012000,465100000,435743000,436520000,400253000,359719000,341562000,266753000,268062000,278723000,182891000
netIncome,107325000,171813000,77418000,113032000,166603000,145089000,146241000,148715000,139438000,143930000,115135000,134750000,78625000,63468000
