Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,60367000,69177000,70126000,65494000,60194000,55599000,46842000,41161000,31487000,28197000,19885000,23405000,19656000
paymentsForOperatingActivities,35448000,29719000,25367000,1464000,1328000,402000,22904000,26204000,30874000,27557000,26679000,21239000,17076000
proceedsFromOperatingActivities,,,,,6318000,12835000,29499000,6931000,6683000,11162000,,,
changeInOperatingLiabilities,-733000,658000,4350000,106000,3804000,1078000,-64000,569000,-455000,1118000,-753000,6133000,791000
changeInOperatingAssets,-1483000,619000,-602000,-2875000,2170000,445000,1901000,-528000,1185000,265000,399000,211000,1536000
depreciationDepletionAndAmortization,18387000,22676000,22335000,20988000,20903000,19125000,17501000,15157000,14741000,11389000,9080000,16831000,14149000
capitalExpenditures,6674000,6822000,5348000,134291000,137883000,32256000,97545000,64014000,76004000,116350000,,87796000,44525000
changeInReceivables,,,,,,,,,,,,,1394000
changeInInventory,3161000,1330000,2900000,1899000,1477000,,,,,,,,
profitLoss,4922000,10782000,9733000,14985000,9541000,12324000,5937000,3958000,98540000,63557000,-2582000,10932000,14829000
cashflowFromInvestment,1138000,-82513000,-94777000,-100258000,-132037000,-34440000,-99865000,-59849000,-74482000,-130441000,-137056000,-91984000,-46001000
cashflowFromFinancing,-61362000,16150000,21753000,39352000,74249000,-21157000,54415000,17019000,39548000,102297000,120171000,70796000,22612000
proceedsFromRepaymentsOfShortTermDebt,61500000,52613000,1150000,54078000,71450000,43325000,32908000,73105000,70499000,70985000,79395000,105755000,-8300000
paymentsForRepurchaseOfCommonStock,998000,0,,0,0,34000,24000,178000,0,0,,,
paymentsForRepurchaseOfEquity,998000,0,,0,0,34000,24000,178000,0,0,,,
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,
dividendPayout,60620000,71092000,67592000,63757000,58887000,54565000,50408000,42494000,36871000,30363000,23940000,20613000,19610000
dividendPayoutCommonStock,60620000,71092000,67592000,63757000,58887000,54379000,50408000,42494000,36871000,30363000,23940000,20613000,19610000
dividendPayoutPreferredStock,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,10225000,49676000,144677000,63609000,134527000,18565000,86260000,118362000,50165000,73931000,88121000,4191000,39707000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,150000000,65000000,37700000,47300000,0,0,0,25000000,0,,,20052000
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,9227000,49676000,144677000,63609000,134527000,18531000,86236000,118184000,50165000,73931000,7800000,4191000,39707000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,
changeInCashAndCashEquivalents,,,-2898000,4588000,2406000,2000,2025000,-494000,-3447000,53000,3000000,2217000,-3733000
changeInExchangeRate,,,,,,,,,,,,,
netIncome,4985000,10805000,9773000,14938000,9628000,12320000,5937000,3958000,3596000,-5902000,1527000,3761000,5714000
